MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,P1_ID,P1_NAME,P1_POS,P2_ID,P2_NAME,P2_POS,P3_ID,P3_NAME,P3_POS,P4_ID,P4_NAME,P4_POS,P5_ID,P5_NAME,P5_POS,MINUTES,SECONDS,PTS_FOR,PTS_AGAINST,PLUS_MINUS,PTS_FOR_PER40,PTS_AGT_PER40,NET_PER40
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1666109,A. Coma Perpiña,PG,1667386,C. Morente Lopez,SF,1949920,J. Pairo Urtos,PF,1926754,J. Fernandez Pinsach,C,1.5,87.0,5.0,4.0,1.0,137.9,110.3,27.6
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1666109,A. Coma Perpiña,PG,1667386,C. Morente Lopez,SF,2239082,N. Mitjanas Costa,PF,1926754,J. Fernandez Pinsach,C,3.5999999999999996,214.0,7.0,2.0,5.0,78.5,22.4,56.1
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1666109,A. Coma Perpiña,PG,1667386,C. Morente Lopez,SF,2239082,N. Mitjanas Costa,PF,1949920,J. Pairo Urtos,PF,0.2,14.0,0.0,2.0,-2.0,0.0,342.9,-342.9
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1666109,A. Coma Perpiña,PG,1944150,M. Melero Bravo,PG,1667386,C. Morente Lopez,SF,1949920,J. Pairo Urtos,PF,2.3,140.0,2.0,12.0,-10.0,34.3,205.7,-171.4
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1666109,A. Coma Perpiña,PG,1944150,M. Melero Bravo,PG,1949920,J. Pairo Urtos,PF,1926754,J. Fernandez Pinsach,C,7.199999999999999,426.0,8.0,8.0,0.0,45.1,45.1,0.0
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1666109,A. Coma Perpiña,PG,1944150,M. Melero Bravo,PG,2059054,A. Riera Buil,SF,2239082,N. Mitjanas Costa,PF,2.6,154.0,4.0,2.0,2.0,62.3,31.2,31.2
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1666109,A. Coma Perpiña,PG,1944150,M. Melero Bravo,PG,2239082,N. Mitjanas Costa,PF,1949920,J. Pairo Urtos,PF,1.2,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1666109,A. Coma Perpiña,PG,2059054,A. Riera Buil,SF,1667386,C. Morente Lopez,SF,1926754,J. Fernandez Pinsach,C,0.1,6.0,0.0,1.0,-1.0,0.0,400.0,-400.0
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1666109,A. Coma Perpiña,PG,2059054,A. Riera Buil,SF,1667386,C. Morente Lopez,SF,2239082,N. Mitjanas Costa,PF,5.0,301.0,11.0,7.0,4.0,87.7,55.8,31.9
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1944150,M. Melero Bravo,PG,1667386,C. Morente Lopez,SF,1926754,J. Fernandez Pinsach,C,1567998,V. Gonzalez Olaizola,C,1.3,74.0,1.0,0.0,1.0,32.4,0.0,32.4
2512420,Final,980023,GEIEG PACISA,HOME,1917788,M. Carbo Cachinero,PG,1944150,M. Melero Bravo,PG,1667386,C. Morente Lopez,SF,2239082,N. Mitjanas Costa,PF,1926754,J. Fernandez Pinsach,C,2.1,131.0,0.0,3.0,-3.0,0.0,55.0,-55.0
