MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2512420,Final,980023,GEIEG PACISA,HOME,70.8,71.8,82.0,97.5,-15.5,41.0,32.8,11.3,24.3,58.1,42.5,1.3,50.0,200,12000.0,58.0,10.0,38.0,6.0,20.0,16.0,58.0,20.0,29.0,9.0,25.0,34.0,12.0,9.0,10.0,3.0,2.0,23.0,24.0,58.0,-65.0
2512420,Final,981340,MARISTAS CORUÑA,AWAY,72.8,71.7,97.5,82.0,15.5,45.6,47.1,14.3,41.9,75.7,57.5,0.9,29.0,200,12000.0,71.0,19.0,38.0,9.0,31.0,28.0,69.0,6.0,20.0,18.0,28.0,46.0,12.0,13.0,8.0,2.0,3.0,25.0,22.0,68.0,65.0
2512421,Final,980023,GEIEG PACISA,AWAY,71.8,73.0,72.4,98.3,-25.9,38.3,35.6,21.9,36.6,59.5,47.4,0.4,33.9,200,12000.0,52.0,12.0,43.0,6.0,16.0,18.0,59.0,10.0,20.0,15.0,22.0,37.0,7.0,19.0,7.0,2.0,3.0,21.0,21.0,35.0,-105.0
2512421,Final,981340,MARISTAS CORUÑA,HOME,74.2,73.0,98.3,72.4,25.9,48.5,47.7,15.7,40.5,63.4,52.6,1.0,31.8,200,12000.0,73.0,21.0,39.0,7.0,27.0,28.0,66.0,10.0,21.0,15.0,26.0,41.0,14.0,14.0,12.0,3.0,2.0,22.0,19.0,77.0,105.0
2512422,Cuartos de Final,981335,CESUR DISTRITO OLIMPICO,HOME,70.4,69.9,79.6,93.4,-13.8,48.8,43.9,29.5,34.4,79.5,59.2,0.6,38.8,200,12000.0,56.0,14.0,31.0,5.0,18.0,19.0,49.0,13.0,19.0,11.0,31.0,42.0,14.0,24.0,4.0,5.0,1.0,21.0,17.0,57.0,-45.0
2512422,Cuartos de Final,981128,IBAIZABAL,AWAY,69.6,69.9,93.4,79.6,13.8,46.7,42.1,10.3,20.5,65.6,40.8,1.9,23.8,200,12000.0,65.0,16.0,37.0,7.0,26.0,23.0,63.0,12.0,15.0,8.0,21.0,29.0,15.0,8.0,16.0,1.0,5.0,17.0,21.0,79.0,45.0
2512423,Cuartos de Final,981335,CESUR DISTRITO OLIMPICO,AWAY,68.1,68.0,64.6,86.9,-22.3,31.8,24.5,18.8,40.5,71.9,54.1,0.6,58.2,200,12000.0,44.0,12.0,42.0,1.0,13.0,13.0,55.0,17.0,32.0,17.0,23.0,40.0,9.0,16.0,5.0,2.0,3.0,20.0,23.0,30.0,-75.0
2512423,Cuartos de Final,981128,IBAIZABAL,HOME,67.9,68.0,86.9,64.6,22.3,45.4,38.6,15.6,28.1,59.5,45.9,1.0,31.6,200,12000.0,59.0,13.0,33.0,6.0,24.0,19.0,57.0,15.0,18.0,9.0,25.0,34.0,12.0,12.0,5.0,3.0,2.0,23.0,20.0,57.0,75.0
2512424,Cuartos de Final,981286,ESCO GRUPO FEMENINO ALCORCON,AWAY,74.6,74.2,93.9,92.1,1.8,48.9,45.1,13.3,25.0,72.7,49.2,0.6,39.3,200,12000.0,70.0,20.0,36.0,5.0,25.0,25.0,61.0,15.0,24.0,8.0,24.0,32.0,7.0,11.0,9.0,0.0,0.0,21.0,21.0,62.0,10.0
2512424,Cuartos de Final,980025,MARISCOS ANTÓN CORTEGADA,HOME,73.8,74.2,92.1,93.9,-1.8,49.4,46.7,16.9,27.3,75.0,50.8,0.9,33.3,200,12000.0,68.0,22.0,46.0,4.0,14.0,26.0,60.0,12.0,20.0,9.0,24.0,33.0,12.0,14.0,8.0,0.0,0.0,21.0,21.0,65.0,-10.0
2512425,Cuartos de Final,981286,ESCO GRUPO FEMENINO ALCORCON,HOME,73.9,75.9,104.2,79.7,24.5,52.1,49.2,11.9,33.3,69.0,50.8,2.1,27.3,200,12000.0,77.0,19.0,35.0,9.0,31.0,28.0,66.0,12.0,18.0,10.0,20.0,30.0,21.0,10.0,14.0,3.0,0.0,17.0,19.0,93.0,75.0
2512425,Cuartos de Final,980025,MARISCOS ANTÓN CORTEGADA,AWAY,77.8,75.9,79.7,104.2,-24.5,50.1,49.1,28.8,31.0,66.7,49.2,0.8,19.3,200,12000.0,62.0,19.0,40.0,6.0,17.0,25.0,57.0,6.0,11.0,9.0,20.0,29.0,19.0,25.0,7.0,0.0,3.0,19.0,17.0,53.0,-75.0
2512426,Cuartos de Final,981209,CB CLARET BENIMACLET,HOME,89.0,90.2,58.4,73.6,-15.2,30.6,28.2,15.8,19.7,65.9,39.0,0.7,20.5,200,12000.0,52.0,10.0,43.0,8.0,35.0,18.0,78.0,8.0,16.0,12.0,29.0,41.0,11.0,16.0,15.0,0.0,4.0,14.0,17.0,38.0,-75.0
2512426,Cuartos de Final,979312,MIPELLETYMAS B.F. LEON,AWAY,91.1,90.1,73.6,58.4,15.2,43.5,44.6,27.3,34.1,80.3,61.0,0.4,9.5,200,12000.0,67.0,27.0,57.0,4.0,17.0,31.0,74.0,1.0,7.0,15.0,49.0,64.0,13.0,29.0,9.0,4.0,0.0,17.0,14.0,76.0,75.0
2512427,Cuartos de Final,981209,CB CLARET BENIMACLET,AWAY,94.9,94.1,75.9,83.6,-7.7,42.4,36.3,16.7,14.3,51.4,29.8,0.5,37.0,200,12000.0,72.0,13.0,36.0,9.0,37.0,22.0,73.0,19.0,27.0,7.0,18.0,25.0,9.0,17.0,19.0,0.0,1.0,23.0,24.0,50.0,-30.0
2512427,Cuartos de Final,979312,MIPELLETYMAS B.F. LEON,HOME,93.3,94.0,83.6,75.9,7.7,48.0,42.0,26.3,48.6,85.7,70.2,0.3,40.6,200,12000.0,78.0,23.0,52.0,4.0,17.0,27.0,69.0,20.0,28.0,17.0,42.0,59.0,8.0,29.0,8.0,1.0,0.0,24.0,23.0,74.0,30.0
2513272,Semifinal,980023,GEIEG PACISA,AWAY,82.8,82.6,81.0,100.8,-19.8,44.8,37.9,18.5,20.9,32.4,26.2,0.5,46.8,200,12000.0,67.0,16.0,39.0,5.0,23.0,21.0,62.0,20.0,29.0,9.0,12.0,21.0,9.0,17.0,23.0,3.0,2.0,27.0,23.0,52.0,-80.0
2513272,Semifinal,979312,MIPELLETYMAS B.F. LEON,HOME,82.3,82.6,100.8,81.0,19.8,53.7,52.3,28.0,67.6,79.1,73.8,0.5,43.1,200,12000.0,83.0,25.0,45.0,6.0,20.0,31.0,65.0,15.0,28.0,25.0,34.0,59.0,16.0,30.0,10.0,2.0,3.0,24.0,27.0,96.0,80.0
2513273,Semifinal,980023,GEIEG PACISA,HOME,78.5,78.2,79.0,84.8,-5.8,39.0,35.4,11.2,27.5,72.2,48.7,1.3,23.6,200,12000.0,62.0,21.0,52.0,3.0,20.0,24.0,72.0,11.0,17.0,11.0,26.0,37.0,13.0,10.0,13.0,1.0,2.0,26.0,19.0,55.0,-20.0
2513273,Semifinal,979312,MIPELLETYMAS B.F. LEON,AWAY,77.8,78.2,84.8,79.0,5.8,45.3,40.4,17.1,27.8,72.5,51.3,0.4,63.2,200,12000.0,66.0,14.0,38.0,6.0,19.0,20.0,57.0,20.0,36.0,10.0,29.0,39.0,6.0,15.0,9.0,2.0,1.0,19.0,26.0,61.0,20.0
2513274,Semifinal,981286,ESCO GRUPO FEMENINO ALCORCON,HOME,73.1,74.8,93.0,61.6,31.4,52.2,48.2,21.7,32.3,83.7,62.2,0.8,41.8,200,12000.0,68.0,13.0,34.0,9.0,21.0,22.0,55.0,15.0,23.0,10.0,36.0,46.0,14.0,18.0,8.0,3.0,2.0,23.0,21.0,78.0,105.0
2513274,Semifinal,981128,IBAIZABAL,AWAY,76.4,74.7,61.6,93.0,-31.4,33.9,31.1,16.8,16.3,67.7,37.8,0.6,31.1,200,12000.0,47.0,13.0,47.0,4.0,14.0,17.0,61.0,9.0,19.0,7.0,21.0,28.0,8.0,14.0,8.0,2.0,3.0,21.0,23.0,27.0,-105.0
2513275,Semifinal,981286,ESCO GRUPO FEMENINO ALCORCON,AWAY,72.8,72.7,59.0,67.6,-8.6,35.9,33.6,25.1,24.1,72.2,50.8,0.6,20.0,200,12000.0,43.0,14.0,40.0,3.0,15.0,17.0,55.0,6.0,11.0,7.0,26.0,33.0,11.0,20.0,10.0,5.0,4.0,19.0,14.0,34.0,-30.0
2513275,Semifinal,981128,IBAIZABAL,HOME,72.5,72.6,67.6,59.0,8.6,37.4,35.3,20.6,27.8,75.9,49.2,0.9,29.3,200,12000.0,49.0,19.0,50.0,1.0,8.0,20.0,58.0,8.0,17.0,10.0,22.0,32.0,15.0,17.0,12.0,4.0,5.0,14.0,19.0,53.0,30.0
2479683,1,979892,C. B. ISLA BONITA,HOME,68.4,68.9,109.7,120.8,-11.1,61.1,60.4,22.7,42.3,66.7,55.9,0.7,35.8,200,12000.0,75.0,20.0,33.0,8.0,20.0,28.0,53.0,11.0,19.0,11.0,22.0,33.0,13.0,18.0,5.0,1.0,0.0,25.0,24.0,75.0,-45.0
2479683,1,981414,HIERROS DÍAZ EXTREMADURA MIRALVALLE,AWAY,69.5,68.9,120.8,109.7,11.1,60.4,56.4,13.7,33.3,57.7,44.1,0.6,60.0,200,12000.0,84.0,16.0,34.0,10.0,21.0,26.0,55.0,22.0,33.0,11.0,15.0,26.0,7.0,11.0,9.0,0.0,1.0,24.0,25.0,76.0,45.0
2479684,1,981227,DPES CB CIUDAD DE MOSTOLES,HOME,85.6,84.0,97.0,70.4,26.6,54.2,53.8,21.5,35.3,80.0,58.0,1.0,36.4,200,12000.0,83.0,22.0,41.0,9.0,25.0,31.0,66.0,12.0,24.0,12.0,28.0,40.0,21.0,21.0,11.0,3.0,1.0,16.0,18.0,92.0,125.0
2479684,1,981212,ELSAMEX CB ANDRATX,AWAY,82.4,84.0,70.4,97.0,-26.6,41.2,37.9,21.3,20.0,64.7,42.0,0.6,15.2,200,12000.0,58.0,19.0,46.0,4.0,20.0,23.0,66.0,8.0,10.0,7.0,22.0,29.0,11.0,19.0,14.0,1.0,3.0,19.0,16.0,46.0,-125.0
2479685,1,979775,BASKET ALMEDA,AWAY,68.8,70.4,69.8,77.6,-7.8,35.9,33.3,16.3,26.8,68.6,46.1,0.8,53.7,200,12000.0,48.0,15.0,35.0,2.0,19.0,17.0,54.0,12.0,29.0,11.0,24.0,35.0,10.0,13.0,9.0,3.0,1.0,21.0,25.0,42.0,-40.0
2479685,1,981335,CESUR DISTRITO OLIMPICO,HOME,72.1,70.4,77.6,69.8,7.8,41.7,38.6,19.2,31.4,73.2,53.9,0.9,40.4,200,12000.0,56.0,16.0,35.0,4.0,22.0,20.0,57.0,12.0,23.0,11.0,30.0,41.0,14.0,16.0,5.0,1.0,3.0,25.0,21.0,49.0,40.0
2479686,1,981286,ESCO GRUPO FEMENINO ALCORCON,HOME,82.4,79.7,74.0,67.6,6.4,36.1,32.9,12.4,32.6,74.4,52.4,0.7,35.6,200,12000.0,61.0,21.0,52.0,2.0,21.0,23.0,73.0,13.0,26.0,14.0,29.0,43.0,8.0,12.0,9.0,5.0,1.0,18.0,25.0,58.0,45.0
2479686,1,981167,SEGLE XXI,AWAY,76.9,79.7,67.6,74.0,-6.4,37.2,34.7,19.6,25.6,67.4,47.6,0.7,29.0,200,12000.0,52.0,14.0,42.0,5.0,20.0,19.0,62.0,9.0,18.0,10.0,29.0,39.0,12.0,17.0,5.0,1.0,5.0,25.0,18.0,33.0,-45.0
2479687,1,982048,EL PLANTEL GMASB,AWAY,76.9,76.8,61.1,100.3,-39.2,35.1,32.2,22.1,27.3,69.4,49.3,0.3,30.5,200,12000.0,47.0,13.0,35.0,4.0,24.0,17.0,59.0,9.0,18.0,9.0,25.0,34.0,6.0,19.0,7.0,0.0,2.0,24.0,19.0,19.0,-150.0
2479687,1,980023,GEIEG PACISA,HOME,76.8,76.8,100.3,61.1,39.2,50.1,44.9,12.5,30.6,72.7,50.7,1.1,29.4,200,12000.0,77.0,23.0,45.0,5.0,23.0,28.0,68.0,16.0,20.0,11.0,24.0,35.0,12.0,11.0,13.0,2.0,0.0,19.0,24.0,89.0,150.0
2479688,1,981209,CB CLARET BENIMACLET,HOME,76.4,76.2,104.7,86.8,17.9,53.7,48.4,19.5,44.4,85.7,64.8,0.7,41.3,200,12000.0,80.0,14.0,33.0,11.0,30.0,25.0,63.0,19.0,26.0,16.0,30.0,46.0,13.0,18.0,8.0,2.0,3.0,19.0,25.0,92.0,70.0
2479688,1,981304,DISHELEC 65 VILADECANS,AWAY,76.0,76.3,86.8,104.7,-17.9,47.8,46.0,14.8,14.3,55.6,35.2,1.3,25.8,200,12000.0,66.0,18.0,38.0,7.0,24.0,25.0,62.0,9.0,16.0,5.0,20.0,25.0,16.0,12.0,10.0,3.0,2.0,25.0,19.0,58.0,-70.0
2479689,1,979778,MAGEC TÍAS LANZAROTE CONTRA LA VIOLENCIA DE GÉNERO,HOME,80.8,81.5,92.9,96.0,-3.1,53.8,50.9,25.6,39.4,59.0,50.0,0.9,50.9,200,12000.0,75.0,23.0,38.0,4.0,19.0,27.0,57.0,17.0,29.0,13.0,23.0,36.0,21.0,24.0,17.0,1.0,1.0,23.0,24.0,85.0,-20.0
2479689,1,981229,SPAR GRAN CANARIA,AWAY,82.3,81.5,96.0,92.9,3.1,52.4,48.4,23.4,41.0,60.6,50.0,0.7,44.4,200,12000.0,79.0,14.0,33.0,11.0,30.0,25.0,63.0,18.0,28.0,16.0,20.0,36.0,17.0,23.0,12.0,1.0,1.0,24.0,21.0,71.0,20.0
2479690,2,979892,C. B. ISLA BONITA,AWAY,68.9,71.5,87.1,71.7,15.4,44.8,44.1,17.3,32.4,60.4,48.2,0.9,30.5,200,12000.0,60.0,11.0,21.0,10.0,38.0,21.0,59.0,8.0,18.0,12.0,29.0,41.0,13.0,14.0,7.0,0.0,2.0,16.0,19.0,62.0,35.0
2479690,2,981229,SPAR GRAN CANARIA,HOME,74.0,71.4,71.7,87.1,-15.4,32.7,33.1,12.9,39.6,67.6,51.8,1.0,11.7,200,12000.0,53.0,21.0,59.0,3.0,18.0,24.0,77.0,2.0,9.0,19.0,25.0,44.0,12.0,12.0,12.0,2.0,0.0,19.0,16.0,48.0,-35.0
2479691,2,981304,DISHELEC 65 VILADECANS,HOME,74.1,77.5,103.9,86.6,17.3,54.1,47.5,16.4,32.4,69.0,52.6,1.3,37.7,200,12000.0,77.0,14.0,29.0,10.0,32.0,24.0,61.0,19.0,23.0,11.0,29.0,40.0,18.0,14.0,7.0,3.0,0.0,15.0,21.0,96.0,35.0
2479691,2,979778,MAGEC TÍAS LANZAROTE CONTRA LA VIOLENCIA DE GÉNERO,AWAY,80.8,77.4,86.6,103.9,-17.3,44.4,41.4,16.0,31.0,67.6,47.4,1.5,28.6,200,12000.0,70.0,20.0,44.0,6.0,26.0,26.0,70.0,12.0,20.0,13.0,23.0,36.0,22.0,15.0,9.0,0.0,3.0,21.0,15.0,64.0,-35.0
2479692,2,981209,CB CLARET BENIMACLET,AWAY,79.0,77.7,77.2,68.0,9.2,38.6,34.7,11.2,22.2,70.0,44.7,1.3,22.2,200,12000.0,61.0,13.0,36.0,8.0,36.0,21.0,72.0,11.0,16.0,10.0,28.0,38.0,13.0,10.0,12.0,0.0,2.0,16.0,19.0,61.0,45.0
2479692,2,982048,EL PLANTEL GMASB,HOME,76.5,77.8,68.0,77.2,-9.2,36.9,34.1,20.3,30.0,77.8,55.3,0.3,27.0,200,12000.0,52.0,14.0,36.0,5.0,27.0,19.0,63.0,9.0,17.0,12.0,35.0,47.0,6.0,18.0,4.0,2.0,0.0,19.0,16.0,38.0,-45.0
