MATCHID,ROUND,SCORE_STR
2479443,1,57-56
2479444,1,89-88
2479445,1,83-69
2479446,1,58-80
2479447,1,60-56
2479448,1,64-72
2479449,1,57-58
2479450,1,71-65
2479451,2,58-55
2479452,2,73-92
2479453,2,69-57
2479454,2,47-68
2479455,2,90-97
2479456,2,87-80
2479457,2,93-62
2479458,2,69-54
2479459,3,78-79
2479460,3,97-83
2479461,3,59-70
2479462,3,83-60
2479463,3,73-74
2479464,3,69-58
2479465,3,64-71
2479466,3,69-62
2479467,4,87-57
2479468,4,65-61
2479469,4,57-65
2479470,4,97-83
2479471,4,85-83
2479472,4,90-49
2479473,4,88-76
2479474,4,64-61
2479475,5,56-64
2479476,5,80-64
2479477,5,77-72
2479478,5,84-56
2479479,5,73-65
2479480,5,61-71
2479481,5,75-95
2479482,5,84-61
2479483,6,56-77
2479484,6,79-83
2479485,6,74-78
2479486,6,63-49
2479487,6,82-70
2479488,6,61-89
2479489,6,85-76
2479490,6,85-97
2479491,7,70-75
2479492,7,85-60
2479493,7,79-88
2479494,7,58-81
2479495,7,73-71
2479496,7,74-80
2479497,7,66-71
2479498,7,89-59
2479499,8,93-81
2479500,8,63-75
2479501,8,72-66
2479502,8,64-70
2479503,8,75-68
2479504,8,65-70
2479505,8,87-65
2479506,8,82-74
2479507,9,77-83
2479508,9,70-86
2479509,9,58-57
2479510,9,83-86
2479511,9,61-51
2479512,9,69-82
2479513,9,71-77
2479514,9,71-65
2479515,10,71-91
2479516,10,85-73
2479517,10,68-61
2479518,10,63-72
2479519,10,71-60
2479520,10,69-63
2479521,10,71-57
2479522,10,83-66
2479523,11,67-93
2479524,11,62-76
2479525,11,68-67
2479526,11,85-60
2479527,11,62-56
2479528,11,70-75
2479529,11,81-62
2479530,11,53-73
2479531,12,75-76
2479532,12,87-74
2479533,12,66-62
2479534,12,81-75
2479535,12,84-57
2479536,12,60-73
2479537,12,62-80
2479538,12,96-68
2479539,13,80-75
2479540,13,76-70
2479541,13,72-77
2479542,13,69-64
2479543,13,92-69
2479544,13,64-82
2479545,13,71-84
2479546,13,71-67
2479547,14,57-82
2479548,14,88-78
2479549,14,50-55
2479550,14,89-70
2479551,14,72-64
2479552,14,77-60
2479553,14,66-62
2479554,14,87-53
2479555,15,74-84
2479556,15,72-62
2479557,15,52-46
2479558,15,80-64
2479559,15,71-68
2479560,15,78-73
2479561,15,75-78
2479562,15,92-83
2479563,16,54-93
2479564,16,62-59
2479565,16,79-74
2479566,16,71-66
2479567,16,91-73
2479568,16,68-64
2479569,16,74-54
2479570,16,81-54
2479571,17,65-78
2479572,17,73-79
2479573,17,84-69
2479574,17,63-76
2479575,17,71-67
2479576,17,71-89
2479577,17,70-57
2479578,17,50-64
2479579,18,85-71
2479580,18,65-49
2479581,18,74-66
2479582,18,72-57
2479583,18,61-80
2479584,18,79-68
2479585,18,103-66
2479586,18,90-61
2479587,19,55-71
2479588,19,67-72
2479589,19,71-68
2479590,19,92-67
2479591,19,120-62
2479592,19,88-62
2479593,19,76-63
2479594,19,73-69
2479595,20,73-77
2479596,20,77-86
2479597,20,67-66
2479598,20,60-74
2479599,20,70-67
2479600,20,53-72
2479601,20,69-70
2479602,20,69-86
2479603,21,76-66
2479604,21,85-63
2479605,21,92-84
2479606,21,53-65
2479607,21,61-50
2479608,21,88-64
2479609,21,109-82
2479610,21,83-57
2479611,22,84-102
2479612,22,93-61
2479613,22,94-67
2479614,22,83-79
2479615,22,60-100
2479616,22,73-68
2479617,22,42-77
2479618,22,76-79
2479619,23,40-87
2479620,23,65-91
2479621,23,70-69
2479622,23,102-66
2479623,23,73-83
2479624,23,102-70
2479625,23,77-80
2479626,23,77-44
2479627,24,83-68
2479628,24,63-76
2479629,24,67-68
2479630,24,72-80
2479631,24,78-70
2479632,24,79-67
2479633,24,78-81
2479634,24,60-71
2479635,25,76-81
2479636,25,101-56
2479637,25,66-63
2479638,25,73-71
2479639,25,80-72
2479640,25,67-51
2479641,25,76-65
2479642,25,71-74
2479643,26,59-84
2479644,26,66-111
2479645,26,62-53
2479646,26,82-85
2479647,26,69-63
2479648,26,75-48
2479649,26,69-67
2479650,26,75-67
2479651,27,78-106
2479652,27,73-50
2479653,27,68-72
2479654,27,72-73
2479655,27,71-61
2479656,27,88-58
2479657,27,69-67
2479658,27,85-74
2479659,28,109-78
2479660,28,90-66
2479661,28,67-66
2479662,28,58-61
2479663,28,90-95
2479664,28,69-57
2479665,28,61-54
2479666,28,67-69
2479667,29,86-66
2479668,29,91-59
2479669,29,87-61
2479670,29,JUEVES23/04/202620:00
2479671,29,74-64
2479672,29,69-72
2479673,29,69-74
2479674,29,62-70
2479675,30,SÁBADO25/04/202618:00
2479676,30,SÁBADO25/04/202619:00
2479677,30,SÁBADO25/04/202619:00
2479678,30,SÁBADO25/04/202619:00
2479679,30,SÁBADO25/04/202619:00
2479680,30,SÁBADO25/04/202619:00
2479681,30,SÁBADO25/04/202619:00
2479682,30,SÁBADO25/04/202619:00
