MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2480182,10,979912,DOMUSA TEKNIK ISB,AWAY,76.6,77.9,69.2,88.3,-19.1,36.5,33.1,16.2,23.8,68.4,45.0,0.7,38.7,200,12000.0,53.0,16.0,49.0,3.0,13.0,19.0,62.0,12.0,24.0,10.0,26.0,36.0,10.0,14.0,11.0,0.0,0.0,24.0,22.0,39.0,-85.0
2480182,10,979988,FUSTECMA NBF CASTELLÓ,HOME,79.3,77.9,88.3,69.2,19.1,48.4,45.0,20.8,31.6,76.2,55.0,0.9,46.7,200,12000.0,70.0,12.0,30.0,10.0,30.0,22.0,60.0,16.0,28.0,12.0,32.0,44.0,18.0,19.0,9.0,0.0,0.0,22.0,24.0,74.0,85.0
2480183,10,981346,LA CORDÁ DE PATERNA NB,AWAY,70.7,71.2,69.3,86.4,-17.1,35.7,33.3,20.8,38.1,73.0,54.4,0.5,20.6,200,12000.0,49.0,12.0,36.0,6.0,27.0,18.0,63.0,7.0,13.0,16.0,27.0,43.0,9.0,18.0,12.0,2.0,1.0,18.0,14.0,42.0,-65.0
2480183,10,979971,OSES CONSTRUCCION,HOME,71.7,71.2,86.4,69.3,17.1,45.8,43.5,17.1,27.0,61.9,45.6,1.1,21.0,200,12000.0,62.0,18.0,37.0,6.0,25.0,24.0,62.0,8.0,13.0,10.0,26.0,36.0,16.0,14.0,10.0,1.0,2.0,14.0,18.0,72.0,65.0
2480184,10,981492,CELTA  FEMXA ZORKA,HOME,60.8,62.6,100.3,63.9,36.4,48.5,47.4,13.7,37.5,72.2,55.9,1.7,19.0,200,12000.0,61.0,20.0,37.0,5.0,21.0,25.0,58.0,6.0,11.0,12.0,26.0,38.0,17.0,10.0,11.0,2.0,1.0,15.0,13.0,79.0,100.0
2480184,10,979952,LA LAGUNA TOYOTA  ADAREVA,AWAY,64.2,62.6,63.9,100.3,-36.4,37.1,34.9,25.6,27.8,62.5,44.1,0.5,9.4,200,12000.0,41.0,8.0,26.0,7.0,27.0,15.0,53.0,4.0,5.0,10.0,20.0,30.0,10.0,19.0,7.0,1.0,2.0,13.0,15.0,33.0,-100.0
2480185,11,979952,LA LAGUNA TOYOTA  ADAREVA,AWAY,74.4,75.0,94.1,96.6,-2.5,55.2,50.0,21.2,21.4,74.2,49.2,1.1,34.5,200,12000.0,70.0,17.0,34.0,7.0,21.0,24.0,55.0,15.0,19.0,6.0,23.0,29.0,18.0,17.0,8.0,3.0,0.0,18.0,20.0,78.0,-15.0
2480185,11,981206,MCR LIMA-HORTA BARCELONA,HOME,75.6,75.0,96.6,94.1,2.5,56.5,54.3,22.7,25.8,78.6,50.8,0.9,25.9,200,12000.0,73.0,15.0,33.0,11.0,25.0,26.0,58.0,10.0,15.0,8.0,22.0,30.0,18.0,19.0,7.0,0.0,3.0,20.0,18.0,70.0,15.0
2480186,11,981492,CELTA  FEMXA ZORKA,AWAY,69.6,69.5,100.6,86.2,14.4,44.6,40.4,13.3,50.0,68.6,58.4,1.2,35.3,200,12000.0,70.0,20.0,48.0,5.0,20.0,25.0,68.0,15.0,24.0,21.0,24.0,45.0,15.0,12.0,8.0,1.0,3.0,14.0,23.0,84.0,50.0
2480186,11,981346,LA CORDÁ DE PATERNA NB,HOME,69.6,69.5,86.2,100.6,-14.4,45.0,42.5,17.4,31.4,50.0,41.6,0.9,25.0,200,12000.0,60.0,12.0,33.0,9.0,27.0,21.0,60.0,9.0,15.0,11.0,21.0,32.0,13.0,14.0,9.0,3.0,1.0,23.0,14.0,49.0,-50.0
2480187,11,979912,DOMUSA TEKNIK ISB,HOME,70.7,71.8,73.6,82.4,-8.8,35.3,32.0,12.0,27.7,85.7,52.4,0.6,34.4,200,12000.0,52.0,16.0,44.0,3.0,20.0,19.0,64.0,11.0,22.0,13.0,30.0,43.0,6.0,10.0,6.0,0.0,0.0,19.0,18.0,40.0,-40.0
2480187,11,979971,OSES CONSTRUCCION,AWAY,72.8,71.7,82.4,73.6,8.8,47.0,41.8,18.0,14.3,72.3,47.6,0.8,36.4,200,12000.0,60.0,8.0,25.0,10.0,30.0,18.0,55.0,14.0,20.0,5.0,34.0,39.0,11.0,14.0,7.0,0.0,0.0,18.0,19.0,61.0,40.0
2480188,11,981242,C.B. SANTFELIUENC,HOME,86.7,86.8,69.2,86.4,-17.2,40.1,38.4,21.9,21.4,72.4,42.3,0.4,18.8,200,12000.0,60.0,19.0,45.0,5.0,24.0,24.0,69.0,7.0,13.0,9.0,21.0,30.0,9.0,21.0,16.0,2.0,1.0,24.0,16.0,37.0,-75.0
2480188,11,979988,FUSTECMA NBF CASTELLÓ,AWAY,86.8,86.7,86.4,69.2,17.2,50.2,42.7,21.1,27.6,78.6,57.7,0.8,46.8,200,12000.0,75.0,25.0,49.0,1.0,13.0,26.0,62.0,22.0,29.0,8.0,33.0,41.0,17.0,20.0,13.0,1.0,2.0,16.0,24.0,92.0,75.0
2480189,11,981356,BOSONIT UNIBASKET,HOME,73.6,72.9,88.3,77.7,10.6,41.9,36.6,13.4,41.0,79.4,58.9,1.7,21.1,200,12000.0,65.0,14.0,46.0,8.0,25.0,22.0,71.0,13.0,15.0,16.0,27.0,43.0,20.0,12.0,8.0,1.0,2.0,14.0,11.0,71.0,45.0
2480189,11,981288,SERNOVA RENOVABLES REAL CANOE,AWAY,72.0,72.8,77.7,88.3,-10.6,44.4,41.1,20.2,20.6,59.0,41.1,0.6,28.6,200,12000.0,56.0,17.0,36.0,4.0,20.0,21.0,56.0,10.0,16.0,7.0,23.0,30.0,10.0,16.0,7.0,2.0,1.0,11.0,14.0,51.0,-45.0
2480190,11,979770,MELILLA CIUDAD DEL DEPORTE LA SALLE,AWAY,72.4,72.2,109.2,115.1,-5.9,59.5,53.4,16.4,26.9,45.7,37.7,1.2,32.8,200,12000.0,79.0,16.0,31.0,10.0,27.0,26.0,58.0,17.0,19.0,7.0,16.0,23.0,16.0,13.0,6.0,2.0,2.0,20.0,21.0,80.0,-20.0
2480190,11,981334,UNICAJA MIJAS,HOME,72.1,72.2,115.1,109.2,5.9,51.2,43.7,11.0,54.3,73.1,62.3,1.5,32.4,200,12000.0,83.0,22.0,45.0,6.0,26.0,28.0,71.0,21.0,23.0,19.0,19.0,38.0,15.0,10.0,9.0,2.0,2.0,21.0,20.0,91.0,20.0
2480191,11,981208,ALTER ENERSUN AL-QÁZERES EXTREMADURA,AWAY,78.7,68.3,85.2,93.3,-8.1,45.5,41.4,20.5,35.9,57.8,47.6,0.6,34.4,225,13500.0,67.0,16.0,33.0,7.0,31.0,23.0,64.0,14.0,22.0,14.0,26.0,40.0,12.0,19.0,6.0,3.0,1.0,21.0,25.0,64.0,-15.0
2480191,11,981306,CAJASOL BALONCESTO SEVILLA FEMENINO,HOME,75.0,68.3,93.3,85.2,8.1,42.2,36.1,11.7,42.2,64.1,52.4,1.6,34.7,225,13500.0,70.0,20.0,55.0,4.0,17.0,24.0,72.0,18.0,25.0,19.0,25.0,44.0,18.0,11.0,12.0,1.0,3.0,25.0,21.0,75.0,15.0
2480192,11,981213,AZULMARINO MALLORCA PALMA,HOME,73.1,76.9,98.5,79.3,19.2,53.7,45.3,18.3,32.1,80.0,56.9,1.2,60.4,200,12000.0,72.0,21.0,36.0,2.0,17.0,23.0,53.0,24.0,32.0,9.0,24.0,33.0,18.0,15.0,8.0,5.0,0.0,20.0,26.0,89.0,40.0
