MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2487104,11,983015,CONSTRUCCIONES GONZALO CRESPO PAS PIÉLAGOS,AWAY,93.4,91.9,93.1,89.6,3.5,50.3,43.7,18.8,34.2,60.0,48.2,0.7,49.3,200,12000.0,87.0,16.0,41.0,10.0,30.0,26.0,71.0,25.0,35.0,13.0,27.0,40.0,13.0,20.0,11.0,3.0,7.0,27.0,27.0,79.0,30.0
2487104,11,979908,RESTAURANTE LOS ARCOS CB SOLARES,HOME,90.4,91.9,89.6,93.1,-3.5,45.8,45.5,18.4,40.0,65.8,51.8,0.7,33.8,200,12000.0,81.0,20.0,47.0,10.0,30.0,30.0,77.0,11.0,26.0,18.0,25.0,43.0,13.0,20.0,10.0,7.0,3.0,28.0,27.0,71.0,-30.0
2487105,11,982049,CAJA RURAL DE ZAMORA CBCV BOECILLO,AWAY,79.8,80.1,90.2,75.9,14.3,51.5,49.2,20.5,23.5,74.4,50.7,0.7,16.9,200,12000.0,72.0,23.0,45.0,6.0,20.0,29.0,65.0,8.0,11.0,8.0,29.0,37.0,13.0,18.0,7.0,1.0,3.0,18.0,16.0,71.0,55.0
2487105,11,981440,RECOLETAS SALUD CARBAJOSA,HOME,80.4,80.1,75.9,90.2,-14.3,42.2,39.8,19.9,25.6,76.5,49.3,0.6,29.7,200,12000.0,61.0,12.0,32.0,9.0,32.0,21.0,64.0,10.0,19.0,10.0,26.0,36.0,11.0,18.0,12.0,3.0,1.0,16.0,18.0,55.0,-55.0
2487106,11,981221,HOTEL 4POSTES - ÁVILA AUTÉNTICA - EL BULEVAR,AWAY,73.9,74.6,109.6,100.8,8.8,56.3,51.6,11.1,20.6,66.7,43.3,1.0,28.1,200,12000.0,81.0,21.0,34.0,8.0,30.0,29.0,64.0,15.0,18.0,7.0,22.0,29.0,9.0,9.0,8.0,0.0,1.0,18.0,20.0,82.0,25.0
2487106,11,981230,ULACIA ZKE,HOME,75.4,74.6,100.8,109.6,-8.8,54.0,51.6,18.5,33.3,79.4,56.7,0.9,30.6,200,12000.0,76.0,26.0,46.0,4.0,16.0,30.0,62.0,12.0,19.0,11.0,27.0,38.0,14.0,16.0,5.0,1.0,0.0,20.0,18.0,77.0,-25.0
2487107,11,979970,MEGACALZADO ARDOI,AWAY,81.8,81.1,89.3,76.9,12.4,45.2,39.0,14.8,30.2,70.3,48.8,1.1,42.6,200,12000.0,73.0,16.0,43.0,7.0,25.0,23.0,68.0,20.0,29.0,13.0,26.0,39.0,15.0,14.0,16.0,0.0,5.0,20.0,22.0,77.0,55.0
2487107,11,979777,UNIVERSIDAD DEUSTO LOIOLA INDAUTXU,HOME,80.6,81.2,76.9,89.3,-12.4,43.9,42.2,22.9,29.7,69.8,51.2,0.6,23.4,200,12000.0,62.0,15.0,39.0,8.0,25.0,23.0,64.0,8.0,15.0,11.0,30.0,41.0,13.0,21.0,8.0,5.0,0.0,24.0,19.0,55.0,-55.0
2487108,12,979921,IRUKI TAKE,HOME,76.8,77.1,110.7,99.3,11.4,56.1,56.0,15.6,37.1,75.0,56.3,1.0,29.9,200,12000.0,85.0,24.0,42.0,9.0,25.0,33.0,67.0,10.0,20.0,13.0,27.0,40.0,14.0,14.0,8.0,1.0,1.0,20.0,24.0,94.0,40.0
2487108,12,979970,MEGACALZADO ARDOI,AWAY,77.6,77.2,99.3,110.7,-11.4,53.8,52.5,17.3,25.0,62.9,43.7,0.9,39.3,200,12000.0,77.0,17.0,29.0,10.0,32.0,27.0,61.0,13.0,24.0,9.0,22.0,31.0,14.0,15.0,9.0,1.0,1.0,24.0,20.0,68.0,-40.0
2487109,12,981221,HOTEL 4POSTES - ÁVILA AUTÉNTICA - EL BULEVAR,HOME,80.8,82.4,94.0,101.2,-7.2,48.2,45.2,13.2,26.3,78.4,52.0,1.0,57.1,200,12000.0,76.0,15.0,36.0,9.0,27.0,24.0,63.0,19.0,36.0,10.0,29.0,39.0,12.0,12.0,14.0,4.0,1.0,21.0,22.0,78.0,-45.0
2487109,12,979777,UNIVERSIDAD DEUSTO LOIOLA INDAUTXU,AWAY,84.0,82.4,101.2,94.0,7.2,56.7,55.5,18.5,21.6,73.7,48.0,0.8,39.1,200,12000.0,85.0,19.0,35.0,11.0,29.0,30.0,64.0,14.0,25.0,8.0,28.0,36.0,13.0,17.0,9.0,1.0,4.0,22.0,21.0,81.0,45.0
2487110,12,982049,CAJA RURAL DE ZAMORA CBCV BOECILLO,HOME,88.0,77.3,83.0,77.9,5.1,44.5,38.8,16.3,25.6,65.7,44.6,0.4,50.7,225,13500.0,73.0,17.0,42.0,6.0,25.0,23.0,67.0,21.0,34.0,10.0,23.0,33.0,6.0,16.0,11.0,1.0,0.0,28.0,28.0,51.0,30.0
2487110,12,981230,ULACIA ZKE,AWAY,86.0,77.4,77.9,83.0,-5.1,44.7,40.8,23.5,34.3,74.4,55.4,0.6,56.7,225,13500.0,67.0,17.0,40.0,5.0,20.0,22.0,60.0,18.0,34.0,12.0,29.0,41.0,13.0,23.0,11.0,0.0,1.0,28.0,28.0,55.0,-30.0
2487111,12,983015,CONSTRUCCIONES GONZALO CRESPO PAS PIÉLAGOS,HOME,81.3,80.1,97.2,101.4,-4.2,52.5,50.0,11.7,11.4,55.9,33.3,1.2,17.1,200,12000.0,79.0,26.0,49.0,6.0,21.0,32.0,70.0,9.0,12.0,4.0,19.0,23.0,12.0,10.0,10.0,0.0,4.0,20.0,17.0,70.0,-5.0
2487111,12,981440,RECOLETAS SALUD CARBAJOSA,AWAY,78.9,80.1,101.4,97.2,4.2,53.4,50.7,20.2,44.1,88.6,66.7,0.7,26.9,200,12000.0,80.0,16.0,36.0,12.0,31.0,28.0,67.0,12.0,18.0,15.0,31.0,46.0,14.0,19.0,8.0,4.0,0.0,17.0,20.0,91.0,5.0
2487112,12,982050,GRUPO INMAPA FILIPENSES,AWAY,96.8,98.5,76.5,100.7,-24.2,47.0,43.2,24.8,22.2,71.1,49.4,0.5,43.9,200,12000.0,74.0,18.0,37.0,7.0,29.0,25.0,66.0,17.0,29.0,8.0,32.0,40.0,14.0,26.0,10.0,3.0,3.0,24.0,24.0,62.0,-135.0
2487112,12,979908,RESTAURANTE LOS ARCOS CB SOLARES,HOME,100.3,98.5,100.7,76.5,24.2,50.8,50.0,12.4,28.9,77.8,50.6,1.4,32.2,200,12000.0,101.0,27.0,53.0,11.0,34.0,38.0,87.0,14.0,28.0,13.0,28.0,41.0,20.0,14.0,19.0,3.0,3.0,24.0,23.0,106.0,135.0
2487113,12,979288,BASKONIA,HOME,84.2,83.3,122.3,87.4,34.9,55.3,56.2,14.7,56.8,71.4,64.5,1.1,37.5,200,12000.0,103.0,30.0,50.0,10.0,30.0,40.0,80.0,13.0,30.0,25.0,35.0,60.0,17.0,16.0,8.0,5.0,2.0,14.0,20.0,126.0,155.0
2487113,12,981143,DE MORRO FINO CANTBASKET04,AWAY,82.4,83.3,87.4,122.3,-34.9,42.2,41.4,11.4,28.6,43.2,35.5,1.4,12.3,200,12000.0,72.0,20.0,53.0,9.0,28.0,29.0,81.0,5.0,10.0,14.0,19.0,33.0,15.0,11.0,12.0,2.0,5.0,20.0,14.0,60.0,-155.0
2487114,12,981423,BLENDIO,AWAY,77.0,78.4,84.4,109.0,-24.6,44.5,43.9,15.1,23.1,64.7,42.5,0.9,24.2,200,12000.0,65.0,17.0,37.0,8.0,29.0,25.0,66.0,7.0,16.0,9.0,22.0,31.0,12.0,13.0,6.0,1.0,5.0,11.0,21.0,62.0,-110.0
2487114,12,981224,TEKNEI BIZKAIA ZORNOTZA,HOME,79.8,78.5,109.0,84.4,24.6,56.6,54.9,16.3,35.3,76.9,57.5,1.4,15.3,200,12000.0,87.0,17.0,34.0,15.0,38.0,32.0,72.0,8.0,11.0,12.0,30.0,42.0,21.0,15.0,6.0,5.0,1.0,22.0,10.0,91.0,110.0
2487115,13,981423,BLENDIO,HOME,77.6,78.2,86.3,95.3,-9.0,50.3,47.5,23.1,31.0,65.2,52.0,0.7,25.0,200,12000.0,67.0,18.0,35.0,7.0,25.0,25.0,60.0,10.0,15.0,9.0,30.0,39.0,14.0,20.0,11.0,0.0,2.0,13.0,16.0,74.0,-40.0
2487115,13,979921,IRUKI TAKE,AWAY,78.7,78.1,95.3,86.3,9.0,45.3,41.6,12.7,34.8,69.0,48.0,1.3,16.9,200,12000.0,75.0,20.0,50.0,8.0,27.0,28.0,77.0,11.0,13.0,16.0,20.0,36.0,16.0,12.0,9.0,2.0,0.0,16.0,13.0,72.0,40.0
2487116,13,981143,DE MORRO FINO CANTBASKET04,HOME,83.9,82.0,100.1,98.6,1.5,54.6,53.6,14.5,19.4,61.2,45.0,0.8,26.1,200,12000.0,84.0,19.0,38.0,12.0,31.0,31.0,69.0,10.0,18.0,6.0,30.0,36.0,10.0,13.0,4.0,3.0,5.0,19.0,19.0,78.0,25.0
2487116,13,981224,TEKNEI BIZKAIA ZORNOTZA,AWAY,80.1,82.0,98.6,100.1,-1.5,43.8,43.1,9.1,38.8,80.6,55.0,2.3,28.8,200,12000.0,79.0,21.0,50.0,9.0,30.0,30.0,80.0,10.0,23.0,19.0,25.0,44.0,21.0,9.0,10.0,5.0,3.0,19.0,19.0,87.0,-25.0
2487117,13,979288,BASKONIA,AWAY,90.9,89.2,84.7,72.0,12.7,42.8,38.7,19.7,45.7,88.6,66.7,0.6,60.6,200,12000.0,77.0,17.0,46.0,7.0,25.0,24.0,71.0,22.0,43.0,21.0,39.0,60.0,14.0,22.0,11.0,2.0,2.0,22.0,28.0,80.0,70.0
2487117,13,979908,RESTAURANTE LOS ARCOS CB SOLARES,HOME,87.6,89.2,72.0,84.7,-12.7,41.1,36.4,17.3,11.4,54.3,33.3,0.6,36.4,200,12000.0,63.0,18.0,41.0,4.0,25.0,22.0,66.0,15.0,24.0,5.0,25.0,30.0,10.0,16.0,9.0,2.0,2.0,28.0,22.0,39.0,-70.0
2487118,13,982050,GRUPO INMAPA FILIPENSES,AWAY,88.1,87.6,93.1,100.0,-6.9,47.6,45.4,10.4,21.1,69.2,45.5,1.3,30.3,200,12000.0,82.0,27.0,52.0,5.0,24.0,32.0,76.0,13.0,23.0,8.0,27.0,35.0,13.0,10.0,7.0,1.0,2.0,20.0,21.0,75.0,-25.0
