PLAYER_ID,PLAYER_NAME,TEAM,POSITION,ROLE_NAME,MIN,PTS,eFG%,TS%,TOV%,ORB%,FTr,USG%,AST%,STL%,BLK%,2PT%,3PT%,FT%,DRB%,3PAr
1625687,R. Seoane Rodicio,GRUPO URETA TIZONA BURGOS,SF,3&D Wing,20.9,6.1,43.5,46.7,12.6,6.6,20.3,15.4,7.1,1.3,0.4,38.6,38.0,84.6,13.7,42.8
1662155,R. Cosialls Borras,ALIMERKA OVIEDO BALONCESTO,C,Stretch Big,18.6,5.4,66.3,66.8,16.6,16.0,60.9,12.3,12.8,2.3,1.1,65.3,41.2,67.8,19.5,12.0
1676845,D. Alderete Diaz,GRUPO ALEGA CANTABRIA,SF,3&D Wing,19.1,3.3,46.9,44.6,12.8,9.9,24.8,9.8,8.2,2.8,0.0,63.0,21.4,35.0,18.7,33.4
1676991,A. Jorda Rodriguez,HLA ALICANTE,SF,High Volume Scorer,17.1,7.0,54.4,57.6,14.0,2.3,15.5,20.0,12.6,1.4,0.3,43.6,40.5,96.7,7.5,62.2
1677841,P. Cordoba Muro,MELILLA CIUDAD DEL DEPORTE,SG,3&D Wing,19.7,6.8,44.1,49.4,13.6,7.6,43.9,19.2,13.3,2.5,0.2,48.2,24.4,67.2,11.8,43.1
1688669,J. Feliu Espejo,PALMER BASKET MALLORCA PALMA,SG,3&D Wing,18.6,7.5,45.7,49.5,13.3,6.3,27.9,22.3,10.7,2.3,0.3,46.5,32.9,70.5,10.7,45.9
1702420,J. Peris Crespo,CAJA RURAL CB ZAMORA,SG,High Volume Scorer,19.5,12.5,51.6,58.0,14.6,1.5,43.6,29.4,19.1,2.6,0.2,53.1,32.0,86.1,12.4,51.9
1710454,D. Manchon Crespo,FLEXICAR FUENLABRADA,SG,Lead Guard,26.4,11.2,54.1,55.9,13.1,2.2,36.7,21.2,15.7,3.6,0.2,56.8,32.8,60.0,10.5,40.7
1715117,E. Vicedo Ayala,HESTIA MENORCA,C,3&D Wing,23.9,8.5,53.1,54.0,6.9,4.3,9.5,17.1,5.8,1.3,0.7,58.0,35.1,71.4,22.6,68.1
1749125,A. Zubizarreta Aranbarri,INVEREADY GIPUZKOA,PG,Offensive Engine,13.6,3.3,39.0,44.8,26.7,4.2,57.3,18.1,23.5,1.1,0.3,42.5,18.6,89.3,10.4,46.8
1750421,X. Oroz Uria,SÚPER AGROPAL PALENCIA,PG,3&D Wing,15.0,2.8,43.2,46.0,15.9,6.7,19.9,11.2,13.3,3.2,0.3,54.9,20.0,77.8,17.6,44.8
1759354,G. Dike Egun,PALMER BASKET MALLORCA PALMA,C,3&D Wing,18.6,3.1,49.9,45.7,19.9,8.2,39.2,10.2,10.3,1.0,1.3,54.5,36.8,21.9,16.8,21.4
1765084,S. Huguet Carrasco,CLOUD.GAL OURENSE BALONCESTO,SF,3&D Wing,9.7,2.4,40.5,40.8,8.2,8.9,22.6,16.4,8.7,1.9,0.0,56.2,18.9,38.9,8.0,61.8
1766217,A. Comendador Femenias,PALMER BASKET MALLORCA PALMA,PF,Stretch Big,16.6,5.8,62.0,65.8,14.8,7.8,70.6,14.9,6.8,1.6,2.3,62.6,41.7,70.8,13.1,11.9
1778999,I. Vazquez Perez,CLOUD.GAL OURENSE BALONCESTO,PG,Offensive Engine,19.5,7.6,49.8,53.6,10.1,5.5,43.6,19.1,29.2,2.7,0.9,52.8,30.1,65.7,16.0,45.9
1784407,P. Molins Calderon,HESTIA MENORCA,PG,Rolling Big,5.6,0.9,18.1,20.8,24.4,3.6,25.4,16.6,17.3,1.6,1.4,20.0,16.7,60.0,14.4,41.1
1787348,A. Parrado Calabria,GRUPO URETA TIZONA BURGOS,PF,Offensive Engine,20.6,9.2,40.9,44.9,19.2,9.0,43.7,27.0,14.6,1.6,0.3,42.4,28.0,62.2,20.5,40.0
1787363,G. Jofresa Sarret,GRUPO URETA TIZONA BURGOS,SG,High Volume Scorer,17.5,9.4,49.7,55.5,13.3,3.1,34.6,25.7,12.0,2.4,0.2,46.0,34.0,86.1,14.3,63.3
1808439,G. Gil Garcia,GRUPO URETA TIZONA BURGOS,PF,3&D Wing,17.6,5.1,38.0,41.6,12.5,7.4,29.2,17.5,12.5,2.4,0.4,45.6,24.3,68.8,19.6,59.9
1821152,P. Gonzalez Longarela,ALIMERKA OVIEDO BALONCESTO,SG,3&D Wing,7.4,2.2,33.7,41.5,9.2,6.3,57.0,17.8,9.6,2.9,1.3,42.9,22.2,72.7,10.5,61.7
1821694,G. Martinez Diaz,GRUPO ALEGA CANTABRIA,SG,Offensive Engine,21.7,7.0,47.8,51.6,19.2,5.1,31.0,18.5,21.8,1.9,0.4,41.1,35.3,73.5,14.2,60.0
1822814,G. Maiza Apecechea,INVEREADY GIPUZKOA,PG,Offensive Engine,17.3,6.1,44.9,51.6,19.2,2.9,32.8,20.1,23.7,0.8,0.5,39.3,31.6,87.5,6.3,64.5
1836771,A. Galan Pozo,MONBUS OBRADOIRO,PF,3&D Wing,19.7,7.5,54.8,59.1,8.6,3.9,43.1,15.9,9.3,1.9,1.6,64.1,32.4,80.6,14.7,43.3
1843906,A. Scariolo Ares,FIBWI MALLORCA BASQUET PALMA,PG,Offensive Engine,14.9,5.5,44.7,52.9,18.5,2.8,54.1,21.8,26.1,1.8,0.5,46.3,34.8,76.1,11.4,24.6
1843906,A. Scariolo Ares,PALMER BASKET MALLORCA PALMA,PG,Offensive Engine,11.6,4.9,44.7,52.9,18.5,2.8,54.1,21.8,26.1,1.8,0.5,35.7,33.3,83.3,11.4,24.6
1848359,I. Diop Gaye,LEYMA CORUÑA,C,Traditional Center,19.1,8.5,54.8,61.2,18.1,12.3,83.6,20.2,5.9,1.4,3.6,57.9,18.4,80.6,20.1,18.1
1853585,A. Faure Ribes,ALIMERKA OVIEDO BALONCESTO,C,Stretch Big,17.4,7.8,66.6,65.3,18.9,13.2,47.2,20.1,6.6,2.3,0.9,62.0,56.2,54.5,25.1,9.1
1863291,M. Iglesias Fernandez,CLOUD.GAL OURENSE BALONCESTO,C,Traditional Center,11.2,4.7,46.5,53.2,19.0,17.7,88.1,19.7,9.8,1.2,1.9,49.3,0.0,75.5,23.4,2.8
1869378,U. Mendicote Rubio,HLA ALICANTE,SF,Stretch Big,18.9,6.8,48.8,57.1,7.9,7.1,97.0,16.0,7.1,1.8,0.2,54.4,37.5,65.3,14.2,32.9
1875914,A. Sola Iddrisu,HESTIA MENORCA,SF,3&D Wing,27.9,6.2,52.0,54.4,7.6,9.0,35.9,10.6,8.6,1.8,0.0,52.4,35.2,69.8,16.6,51.8
1878729,J. Godspower Johnson,MELILLA CIUDAD DEL DEPORTE,PF,3&D Wing,14.0,4.0,40.5,42.6,14.2,3.6,16.5,16.8,9.4,2.2,1.4,41.2,31.1,69.2,17.5,72.1
1879609,A. Alonso Cuevas,GRUPO URETA TIZONA BURGOS,SF,3&D Wing,14.6,3.7,45.2,46.3,16.8,7.3,25.5,13.6,12.2,2.4,0.4,70.0,26.1,62.5,16.8,70.5
