PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM,POSITION,POS_ORDER,ROLE_NAME,DORSAL,PHOTO_URL,GP,GS,MIN_PG,PTS_PG,ORB_PG,DRB_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,BLKA_PG,TOV_PG,PF_PG,PFD_PG,PLUS_MINUS_PG,PIR_PG,FGM_2_PG,FGA_2_PG,FG2_PCT,FGM_3_PG,FGA_3_PG,FG3_PCT,FTM_PG,FTA_PG,FT_PCT,TS_PCT,EFG_PCT,3PAr,FTr,TOV_PCT,GMSC_PG,ROLE_EFG_PCT,ROLE_TS_PCT,ROLE_TOV_PCT,ROLE_ORB_PCT,ROLE_FTr,ROLE_USG_PCT,PTS,TRB,AST,STL,BLK,TOV,PIR,FGM_2,FGA_2,FGM_3,FGA_3,FTM,FTA,MIN_TOTAL,MIN_SECS_TOTAL
2361378,Y. Suarez Castaño,986092,ALIMERKA OVIEDO BALONCESTO,PG,1,Traditional Center,27.0,https://imagenes.feb.es/Foto.aspx?c=2361378,2,2,19.8,9.5,0.5,4.0,4.5,2.0,1.5,0.5,0.0,1.5,2.5,4.0,3.0,10.0,3.5,7.0,50.0,0.0,1.0,0.0,2.5,6.0,41.7,44.6,43.8,12.5,75.0,12.4,6.2,41.3,43.9,13.3,1.7,80.8,21.5,19.0,9.0,4.0,3.0,1.0,3.0,20.0,7.0,14.0,0.0,2.0,5.0,12.0,39.6,2376.0
2481190,M. Garcia Pertierra,986092,ALIMERKA OVIEDO BALONCESTO,PG,1,Lead Guard,28.0,https://imagenes.feb.es/Foto.aspx?c=2481190,2,1,23.1,8.5,3.0,2.5,5.5,2.5,3.0,0.0,0.0,1.5,0.5,3.5,16.5,15.5,3.0,5.0,60.0,0.0,0.5,0.0,2.5,5.5,45.5,53.7,54.5,9.1,100.0,15.9,10.6,53.6,54.5,15.3,9.2,110.2,14.2,17.0,11.0,5.0,6.0,0.0,3.0,31.0,6.0,10.0,0.0,1.0,5.0,11.0,46.2,2772.0
2361016,L. Riaño Toyos,986092,ALIMERKA OVIEDO BALONCESTO,SG,2,Lead Guard,17.0,https://imagenes.feb.es/Foto.aspx?c=2361016,2,0,24.2,11.5,2.5,6.5,9.0,2.0,3.0,0.5,0.5,1.0,1.5,3.5,13.5,14.0,1.5,6.5,23.1,2.5,8.0,31.2,1.0,3.5,28.6,35.8,36.2,55.2,24.1,5.9,8.8,35.7,35.9,5.9,7.4,26.7,24.6,23.0,18.0,4.0,6.0,1.0,2.0,28.0,3.0,13.0,5.0,16.0,2.0,7.0,48.4,2900.0
2426067,I. Alvarez Dueñas,986092,ALIMERKA OVIEDO BALONCESTO,SF,3,3&D Wing,56.0,https://imagenes.feb.es/Foto.aspx?c=2426067,2,2,16.0,5.0,1.5,1.0,2.5,1.0,0.0,0.0,0.0,0.5,3.0,1.0,-3.0,1.0,1.0,2.0,50.0,1.0,4.0,25.0,0.0,1.0,0.0,38.8,41.7,66.7,16.7,7.2,1.5,44.2,39.8,5.0,6.9,23.9,15.2,10.0,5.0,2.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,8.0,0.0,2.0,32.0,1918.0
2302965,H. Alonso Cepedal,986092,ALIMERKA OVIEDO BALONCESTO,PF,4,3&D Wing,97.0,https://imagenes.feb.es/Foto.aspx?c=2302965,2,2,24.8,11.0,5.5,5.0,10.5,2.0,1.0,0.0,0.0,3.0,3.5,3.0,20.5,13.0,2.5,6.5,38.5,1.5,4.0,37.5,1.5,3.0,50.0,46.5,45.2,38.1,28.6,20.2,8.0,46.0,47.1,20.3,15.6,29.8,20.9,22.0,21.0,4.0,2.0,0.0,6.0,26.0,5.0,13.0,3.0,8.0,3.0,6.0,49.7,2983.0
2264884,H. Fernandez Lopez,986092,ALIMERKA OVIEDO BALONCESTO,,6,Lead Guard,19.0,https://imagenes.feb.es/Foto.aspx?c=2264884,2,2,30.8,21.5,1.5,3.5,5.0,3.5,4.0,0.0,0.0,4.5,2.0,6.5,11.5,20.5,2.0,3.0,66.7,3.5,13.5,25.9,7.0,9.5,73.7,52.0,43.9,81.8,57.6,17.9,14.4,42.7,51.9,17.9,3.7,59.3,28.6,43.0,10.0,7.0,8.0,0.0,9.0,41.0,4.0,6.0,7.0,27.0,14.0,19.0,61.7,3704.0
2425657,O. Fernandez Alvarez,986092,ALIMERKA OVIEDO BALONCESTO,,6,Rolling Big,20.0,https://imagenes.feb.es/Foto.aspx?c=2425657,2,1,25.3,5.5,2.0,0.5,2.5,2.0,0.5,0.5,1.0,2.5,2.5,1.5,2.0,0.5,1.0,4.0,25.0,1.0,4.5,22.2,0.5,1.0,50.0,30.8,29.4,52.9,11.8,21.9,0.5,29.4,30.9,17.2,5.6,11.7,15.8,11.0,5.0,4.0,1.0,1.0,5.0,1.0,2.0,8.0,2.0,9.0,1.0,2.0,50.6,3034.0
2264264,J. De La Lama Romano,986092,ALIMERKA OVIEDO BALONCESTO,,6,Rolling Big,98.0,https://imagenes.feb.es/Foto.aspx?c=2264264,2,0,14.7,4.5,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,-1.0,0.5,0.0,3.5,0.0,1.0,2.5,40.0,1.5,2.0,75.0,32.7,25.0,41.7,33.3,0.0,0.7,21.9,32.8,0.0,4.9,37.4,16.3,9.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,5.0,3.0,4.0,29.4,1761.0
2425972,S. Suárez González,986092,ALIMERKA OVIEDO BALONCESTO,,6,Offensive Engine,1.0,https://imagenes.feb.es/Foto.aspx?c=2425972,2,0,8.6,3.5,1.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,1.5,0.5,-6.0,2.0,1.0,2.5,40.0,0.5,1.0,50.0,0.0,0.0,0.0,50.0,50.0,28.6,0.0,22.2,1.9,47.9,47.9,20.2,8.4,0.0,18.1,7.0,2.0,2.0,1.0,0.0,2.0,4.0,2.0,5.0,1.0,2.0,0.0,0.0,17.3,1041.0
2869416,D. Perdigon Ayala,986092,ALIMERKA OVIEDO BALONCESTO,,6,,30.0,https://imagenes.feb.es/Foto.aspx?c=2869416,1,0,2.2,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,75.0,75.0,50.0,0.0,0.0,3.0,,,,,,,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.2,130.0
2425915,J. García Navarro,986092,ALIMERKA OVIEDO BALONCESTO,,6,Lead Guard,7.0,https://imagenes.feb.es/Foto.aspx?c=2425915,2,0,4.0,2.5,1.0,0.5,1.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,2.5,0.5,2.0,25.0,0.5,1.0,50.0,0.0,0.0,0.0,41.7,41.7,33.3,0.0,14.3,1.7,42.3,42.3,12.3,17.8,0.0,30.1,5.0,3.0,0.0,1.0,0.0,1.0,5.0,1.0,4.0,1.0,2.0,0.0,0.0,8.1,485.0
2481349,O. Fall Fernandez,986092,ALIMERKA OVIEDO BALONCESTO,,6,Rolling Big,9.0,https://imagenes.feb.es/Foto.aspx?c=2481349,2,0,7.4,0.0,1.0,1.0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-5.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7,0.0,0.0,0.0,9.7,0.0,7.1,0.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,14.9,896.0
2295556,M. Riveiro Iglesias,985683,BALIDEA OBRADOIRO,SF,6,Shooter Specialist,30.0,https://imagenes.feb.es/Foto.aspx?c=2295556,2,1,18.8,16.0,0.5,3.5,4.0,0.5,1.0,0.0,0.0,2.0,1.0,1.5,17.0,14.0,4.0,6.0,66.7,2.5,5.5,45.5,0.5,1.5,33.3,65.8,67.4,47.8,13.0,14.1,10.5,67.1,65.7,14.2,3.1,13.8,29.0,32.0,8.0,1.0,2.0,0.0,4.0,28.0,8.0,12.0,5.0,11.0,1.0,3.0,37.7,2260.0
2248753,M. Bascoy Fernandez,985683,BALIDEA OBRADOIRO,C,6,Stretch Big,22.0,https://imagenes.feb.es/Foto.aspx?c=2248753,2,2,17.0,15.0,1.0,5.0,6.0,3.0,0.5,0.0,0.0,2.5,1.0,2.5,29.0,20.0,4.0,7.0,57.1,2.0,2.0,100.0,1.0,1.5,66.7,77.6,77.8,22.2,16.7,20.6,12.8,77.1,77.4,20.6,6.2,18.6,27.8,30.0,12.0,6.0,1.0,0.0,5.0,40.0,8.0,14.0,4.0,4.0,2.0,3.0,33.9,2035.0
