MATCHID,ROUND,SCORE_STR
2486849,1,78-66
2486850,1,63-66
2486851,1,76-70
2486852,1,83-78
2486853,1,88-84
2486854,1,77-94
2486855,1,88-81
2486856,2,76-73
2486857,2,80-100
2486858,2,77-72
2486859,2,57-68
2486860,2,65-72
2486861,2,79-93
2486862,2,87-83
2486863,3,78-93
2486864,3,80-88
2486865,3,94-75
2486866,3,96-59
2486867,3,86-98
2486868,3,92-90
2486869,3,76-81
2486870,4,67-76
2486871,4,69-95
2486872,4,55-73
2486873,4,77-59
2486874,4,78-81
2486875,4,108-86
2486876,4,98-99
2486877,5,78-79
2486878,5,75-78
2486879,5,84-87
2486880,5,85-94
2486881,5,91-71
2486882,5,100-75
2486883,5,90-76
2486884,6,65-71
2486885,6,97-106
2486886,6,88-82
2486887,6,79-75
2486888,6,78-84
2486889,6,90-93
2486890,6,83-80
2486891,7,68-69
2486892,7,71-80
2486893,7,75-68
2486894,7,105-92
2486895,7,103-84
2486896,7,90-71
2486897,7,116-73
2486898,8,56-76
2486899,8,71-87
2486900,8,65-75
2486901,8,101-81
2486902,8,80-61
2486903,8,99-71
2486904,8,89-74
2486905,9,95-92
2486906,9,92-79
2486907,9,99-103
2486908,9,74-84
2486909,9,96-74
2486910,9,100-70
2486911,9,68-86
2486912,10,71-64
2486913,10,66-83
2486914,10,92-77
2486915,10,80-75
2486916,10,74-89
2486917,10,80-82
2486918,10,68-65
2486919,11,106-104
2486920,11,81-64
2486921,11,103-75
2486922,11,78-66
2486923,11,89-69
2486924,11,73-75
2486925,11,64-70
2486926,12,85-78
2486927,12,100-59
2486928,12,86-72
2486929,12,70-62
2486930,12,70-72
2486931,12,79-61
2486932,12,66-100
2486933,13,93-86
2486934,13,107-67
2486935,13,93-72
2486936,13,78-72
2486937,13,95-58
2486938,13,59-82
2486939,13,75-97
2486940,14,63-80
2486941,14,86-75
2486942,14,74-78
2486943,14,65-73
2486944,14,80-75
2486945,14,73-52
2486946,14,80-101
2486947,15,89-66
2486948,15,69-77
2486949,15,88-99
2486950,15,65-63
2486951,15,69-71
2486952,15,84-77
2486953,15,86-60
2486954,16,70-63
2486955,16,85-98
2486956,16,86-66
2486957,16,85-74
2486958,16,69-74
2486959,16,78-83
2486960,16,85-74
2486961,17,96-95
2486962,17,94-93
2486963,17,82-74
2486964,17,82-74
2486965,17,83-61
2486966,17,76-83
2486967,17,96-91
2486968,18,78-68
2486969,18,98-54
2486970,18,76-85
2486971,18,78-75
2486972,18,82-66
2486973,18,79-82
2486974,18,78-76
2486975,19,103-96
2486976,19,85-78
2486977,19,65-75
2486978,19,74-64
2486979,19,69-76
2486980,19,98-62
2486981,19,72-84
2486982,20,87-92
2486983,20,70-86
2486984,20,91-63
2486985,20,77-73
2486986,20,85-71
2486987,20,81-83
2486988,20,98-90
2486989,21,88-85
2486990,21,81-75
2486991,21,101-80
2486992,21,88-80
2486993,21,82-84
2486994,21,70-78
2486995,21,67-62
2486996,22,51-77
2486997,22,64-73
2486998,22,89-83
2486999,22,87-50
2487000,22,77-95
2487001,22,58-84
2487002,22,78-76
2487003,23,74-62
2487004,23,83-76
2487005,23,89-79
2487006,23,76-72
2487007,23,67-72
2487008,23,82-67
2487009,23,83-75
2487010,24,58-77
2487011,24,83-73
2487012,24,73-65
2487013,24,45-73
2487014,24,94-66
2487015,24,82-85
2487016,24,72-81
2487017,25,65-83
2487018,25,79-85
2487019,25,59-96
2487020,25,81-77
2487021,25,108-69
2487022,25,99-80
2487023,25,82-52
2487024,26,SÁBADO18/04/202620:00
2487025,26,SÁBADO18/04/202620:00
2487026,26,SÁBADO18/04/202620:00
2487027,26,SÁBADO18/04/202620:00
2487028,26,SÁBADO18/04/202620:00
2487029,26,SÁBADO18/04/202620:00
2487030,26,SÁBADO18/04/202620:00
