MATCHID,ROUND,SCORE_STR
2480105,1,56-62
2480106,1,66-75
2480107,1,56-68
2480108,1,53-83
2480109,1,83-61
2480110,1,66-67
2480111,1,63-72
2480112,1,81-67
2480113,2,57-63
2480114,2,55-67
2480115,2,93-77
2480116,2,77-87
2480117,2,70-51
2480118,2,71-79
2480119,2,72-67
2480120,2,73-62
2480121,3,69-64
2480122,3,44-64
2480123,3,85-53
2480124,3,79-78
2480125,3,54-56
2480126,3,86-69
2480127,3,51-59
2480128,3,64-56
2480129,4,64-45
2480130,4,97-59
2480131,4,79-71
2480132,4,88-46
2480133,4,66-72
2480134,4,58-67
2480135,4,70-52
2480136,4,57-55
2480137,5,65-54
2480138,5,67-58
2480139,5,76-70
2480140,5,63-76
2480141,5,61-79
2480142,5,59-88
2480143,5,58-64
2480144,5,77-49
2480145,6,90-47
2480146,6,66-71
2480147,6,82-62
2480148,6,53-47
2480149,6,75-69
2480150,6,68-75
2480151,6,63-83
2480152,6,61-63
2480153,7,56-93
2480154,7,61-45
2480155,7,56-54
2480156,7,60-80
2480157,7,75-66
2480158,7,64-70
2480159,7,50-97
2480160,7,100-59
2480161,8,77-83
2480162,8,74-61
2480163,8,64-61
2480164,8,70-57
2480165,8,75-62
2480166,8,52-74
2480167,8,47-59
2480168,8,62-66
2480169,9,85-70
2480170,9,67-69
2480171,9,53-72
2480172,9,57-41
2480173,9,53-77
2480174,9,50-63
2480175,9,76-68
2480176,9,60-82
2480177,10,100-69
2480178,10,95-62
2480179,10,57-69
2480180,10,68-65
2480181,10,67-51
2480182,10,70-53
2480183,10,62-49
2480184,10,61-41
2480185,11,73-70
2480186,11,60-70
2480187,11,52-60
2480188,11,60-75
2480189,11,65-56
2480190,11,83-79
2480191,11,70-67
2480192,11,72-64
2480193,12,82-55
2480194,12,52-74
2480195,12,90-64
2480196,12,60-67
2480197,12,79-56
2480198,12,82-68
2480199,12,74-57
2480200,12,70-76
2480201,13,56-62
2480202,13,90-84
2480203,13,68-78
2480204,13,69-73
2480205,13,77-69
2480206,13,57-67
2480207,13,81-60
2480208,13,53-57
2480209,14,51-57
2480210,14,56-72
2480211,14,62-82
2480212,14,53-48
2480213,14,55-68
2480214,14,77-61
2480215,14,77-52
2480216,14,71-90
2480217,15,70-56
2480218,15,63-73
2480219,15,65-58
2480220,15,67-73
2480221,15,71-80
2480222,15,78-54
2480223,15,64-62
2480224,15,57-69
2480225,16,76-75
2480226,16,73-69
2480227,16,71-68
2480228,16,99-54
2480229,16,65-74
2480230,16,78-49
2480231,16,65-56
2480232,16,54-58
2480233,17,58-46
2480234,17,55-59
2480235,17,58-66
2480236,17,69-58
2480237,17,77-74
2480238,17,69-61
2480239,17,70-66
2480240,17,45-51
2480241,18,42-66
2480242,18,51-48
2480243,18,70-77
2480244,18,51-77
2480245,18,96-57
2480246,18,64-74
2480247,18,83-66
2480248,18,73-41
2480249,19,58-54
2480250,19,56-90
2480251,19,62-67
2480252,19,62-100
2480253,19,64-53
2480254,19,66-50
2480255,19,68-72
2480256,19,49-47
2480257,20,60-64
2480258,20,71-80
2480259,20,58-60
2480260,20,78-56
2480261,20,76-57
2480262,20,92-53
2480263,20,86-80
2480264,20,70-47
2480265,21,76-79
2480266,21,65-50
2480267,21,61-143
2480268,21,60-66
2480269,21,73-68
2480270,21,46-62
2480271,21,75-61
2480272,21,77-68
2480273,22,60-58
2480274,22,60-82
2480275,22,71-76
2480276,22,68-67
2480277,22,72-74
2480278,22,86-58
2480279,22,95-61
2480280,22,51-78
2480281,23,58-69
2480282,23,60-86
2480283,23,62-70
2480284,23,52-75
2480285,23,79-85
2480286,23,70-61
2480287,23,71-78
2480288,23,76-74
2480289,24,41-82
2480290,24,73-54
2480291,24,69-60
2480292,24,69-57
2480293,24,98-60
2480294,24,65-56
2480295,24,38-71
2480296,24,80-44
2480297,25,70-89
2480298,25,77-71
2480299,25,75-68
2480300,25,74-57
2480301,25,66-68
2480302,25,83-70
2480303,25,59-74
2480304,25,52-76
2480305,26,58-77
2480306,26,85-59
2480307,26,42-61
2480308,26,71-50
2480309,26,52-64
2480310,26,59-67
2480311,26,60-62
2480312,26,68-84
2480313,27,64-59
2480314,27,98-56
2480315,27,72-65
2480316,27,79-64
2480317,27,65-61
2480318,27,50-98
2480319,27,57-69
2480320,27,87-44
2480321,28,73-90
2480322,28,59-78
2480323,28,100-50
2480324,28,82-67
2480325,28,56-57
2480326,28,76-61
2480327,28,63-94
2480328,28,73-68
2480329,29,63-71
2480330,29,75-72
2480331,29,107-65
2480332,29,48-62
2480333,29,67-42
2480334,29,64-61
2480335,29,53-99
2480336,29,84-80
2480337,30,75-59
2480338,30,78-61
2480339,30,75-69
2480340,30,56-57
2480341,30,50-62
2480342,30,54-89
2480343,30,63-66
2480344,30,70-75
2512654,Cuartos de Final,50 - 60
2512655,Cuartos de Final,68 - 41
2512660,Cuartos de Final,54 - 51
2512661,Cuartos de Final,76 - 63
2512656,Cuartos de Final,64 - 59
2512657,Cuartos de Final,76 - 46
2512658,Cuartos de Final,56 - 73
2512659,Cuartos de Final,58 - 67
2513298,Semifinal,72 - 48
2513299,Semifinal,53 - 54
2513596,Final,63 - 53
