PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM,POSITION,POS_ORDER,ROLE_NAME,DORSAL,PHOTO_URL,GP,GS,MIN_PG,PTS_PG,ORB_PG,DRB_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,BLKA_PG,TOV_PG,PF_PG,PFD_PG,PLUS_MINUS_PG,PIR_PG,FGM_2_PG,FGA_2_PG,FG2_PCT,FGM_3_PG,FGA_3_PG,FG3_PCT,FTM_PG,FTA_PG,FT_PCT,TS_PCT,EFG_PCT,3PAr,FTr,TOV_PCT,GMSC_PG,ROLE_EFG_PCT,ROLE_TS_PCT,ROLE_TOV_PCT,ROLE_ORB_PCT,ROLE_FTr,ROLE_USG_PCT,PTS,TRB,AST,STL,BLK,TOV,PIR,FGM_2,FGA_2,FGM_3,FGA_3,FTM,FTA,MIN_TOTAL,MIN_SECS_TOTAL
2386746,P. Mera Seco,984792,REAL MADRID,,6,,,https://imagenes.feb.es/Foto.aspx?c=2386746,1,0,11.8,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.7,-0.4,,,,,,,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,11.8,710.0
2024478,A. Blanco Cardona,984924,VALENCIA BASKET,PG,1,,,https://imagenes.feb.es/Foto.aspx?c=2024478,1,1,24.7,17.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,5.0,5.0,2.0,0.0,10.0,6.0,10.0,60.0,1.0,3.0,33.3,2.0,2.0,100.0,61.2,57.7,23.1,15.4,26.5,8.2,,,,,,,17.0,2.0,3.0,0.0,2.0,5.0,10.0,6.0,10.0,1.0,3.0,2.0,2.0,24.7,1484.0
2377844,G. Tazo Camacho,984924,VALENCIA BASKET,PG,1,,,https://imagenes.feb.es/Foto.aspx?c=2377844,1,0,28.6,15.0,2.0,4.0,6.0,6.0,2.0,0.0,0.0,6.0,1.0,6.0,5.0,18.0,5.0,7.0,71.4,0.0,4.0,0.0,5.0,9.0,55.6,50.1,45.5,36.4,81.8,28.6,10.1,,,,,,,15.0,6.0,6.0,2.0,0.0,6.0,18.0,5.0,7.0,0.0,4.0,5.0,9.0,28.6,1715.0
2087872,V. Iglesias Martinez,984924,VALENCIA BASKET,PG,1,,,https://imagenes.feb.es/Foto.aspx?c=2087872,1,0,12.8,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,-1.0,-4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,40.0,-1.9,,,,,,,0.0,0.0,2.0,2.0,0.0,2.0,-4.0,0.0,1.0,0.0,2.0,0.0,0.0,12.8,767.0
2171580,M. Grau Maeso,984924,VALENCIA BASKET,SG,2,,,https://imagenes.feb.es/Foto.aspx?c=2171580,1,1,13.9,0.0,2.0,3.0,5.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,-12.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.5,,,,,,,0.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,13.9,834.0
2180937,T. Talcis Grikietis,984924,VALENCIA BASKET,SF,3,,,https://imagenes.feb.es/Foto.aspx?c=2180937,1,0,30.0,15.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,22.0,2.0,3.0,66.7,2.0,5.0,40.0,5.0,6.0,83.3,70.5,62.5,62.5,75.0,0.0,15.2,,,,,,,15.0,4.0,4.0,1.0,0.0,0.0,22.0,2.0,3.0,2.0,5.0,5.0,6.0,30.0,1798.0
2649709,N. Tolan,984924,VALENCIA BASKET,SF,3,,,https://imagenes.feb.es/Foto.aspx?c=2649709,1,1,24.2,5.0,1.0,2.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,-9.0,13.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,1.0,0.0,72.7,83.3,33.3,33.3,22.5,8.8,,,,,,,5.0,3.0,3.0,1.0,3.0,1.0,13.0,1.0,2.0,1.0,1.0,0.0,1.0,24.2,1454.0
2144461,J. Carot Hernandez,984924,VALENCIA BASKET,C,5,,,https://imagenes.feb.es/Foto.aspx?c=2144461,1,1,30.2,22.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,3.0,3.0,5.0,0.0,23.0,7.0,9.0,77.8,2.0,4.0,50.0,2.0,2.0,100.0,79.3,76.9,30.8,15.4,17.8,15.6,,,,,,,22.0,5.0,0.0,1.0,0.0,3.0,23.0,7.0,9.0,2.0,4.0,2.0,2.0,30.2,1814.0
2558496,D. Osayi James,984924,VALENCIA BASKET,C,5,,,https://imagenes.feb.es/Foto.aspx?c=2558496,1,0,9.0,6.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,2.0,2.0,100.0,0.0,1.0,0.0,2.0,2.0,100.0,77.3,66.7,33.3,66.7,20.5,6.0,,,,,,,6.0,3.0,0.0,1.0,0.0,1.0,9.0,2.0,2.0,0.0,1.0,2.0,2.0,9.0,542.0
2743397,M. Leitao Ribeiro Do Sacramento E,984924,VALENCIA BASKET,,6,,,https://imagenes.feb.es/Foto.aspx?c=2743397,1,1,26.5,7.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,-10.0,4.0,2.0,2.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,70.0,70.0,60.0,0.0,37.5,4.2,,,,,,,7.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,0.0,0.0,26.5,1592.0
